-22.87393697 -0.00088806 -0.00001683 	-22.87393697 -0.00033587 -0.00000558	-22.87393697 -0.00049500 -0.00000878 	-22.87393697 -0.00154582 -0.00002992 
-22.84892446 -0.00088947 -0.00001688 	-22.84892446 -0.00033635 -0.00000561	-22.84892446 -0.00049574 -0.00000882 	-22.84892446 -0.00154830 -0.00003000 
-22.82391196 -0.00089087 -0.00001692 	-22.82391196 -0.00033682 -0.00000562	-22.82391196 -0.00049648 -0.00000884 	-22.82391196 -0.00155082 -0.00003010 
-22.79889945 -0.00089228 -0.00001698 	-22.79889945 -0.00033729 -0.00000563	-22.79889945 -0.00049722 -0.00000886 	-22.79889945 -0.00155332 -0.00003018 
-22.77388694 -0.00089370 -0.00001702 	-22.77388694 -0.00033777 -0.00000564	-22.77388694 -0.00049796 -0.00000888 	-22.77388694 -0.00155584 -0.00003028 
-22.74887444 -0.00089512 -0.00001708 	-22.74887444 -0.00033821 -0.00000567	-22.74887444 -0.00049868 -0.00000892 	-22.74887444 -0.00155838 -0.00003038 
-22.72386193 -0.00089655 -0.00001713 	-22.72386193 -0.00033870 -0.00000568	-22.72386193 -0.00049944 -0.00000894 	-22.72386193 -0.00156090 -0.00003046 
-22.69884942 -0.00089798 -0.00001718 	-22.69884942 -0.00033917 -0.00000571	-22.69884942 -0.00050018 -0.00000898 	-22.69884942 -0.00156344 -0.00003056 
-22.67383692 -0.00089941 -0.00001723 	-22.67383692 -0.00033963 -0.00000572	-22.67383692 -0.00050092 -0.00000900 	-22.67383692 -0.00156602 -0.00003066 
-22.64882441 -0.00090086 -0.00001727 	-22.64882441 -0.00034012 -0.00000573	-22.64882441 -0.00050168 -0.00000902 	-22.64882441 -0.00156856 -0.00003076 
-22.62381191 -0.00090229 -0.00001733 	-22.62381191 -0.00034061 -0.00000574	-22.62381191 -0.00050244 -0.00000904 	-22.62381191 -0.00157112 -0.00003084 
-22.59879940 -0.00090373 -0.00001739 	-22.59879940 -0.00034107 -0.00000577	-22.59879940 -0.00050318 -0.00000908 	-22.59879940 -0.00157370 -0.00003094 
-22.57378689 -0.00090520 -0.00001744 	-22.57378689 -0.00034156 -0.00000578	-22.57378689 -0.00050394 -0.00000910 	-22.57378689 -0.00157628 -0.00003102 
-22.54877439 -0.00090665 -0.00001749 	-22.54877439 -0.00034204 -0.00000579	-22.54877439 -0.00050470 -0.00000912 	-22.54877439 -0.00157886 -0.00003112 
-22.52376188 -0.00090811 -0.00001755 	-22.52376188 -0.00034252 -0.00000582	-22.52376188 -0.00050546 -0.00000916 	-22.52376188 -0.00158148 -0.00003120 
-22.49874937 -0.00090956 -0.00001760 	-22.49874937 -0.00034300 -0.00000580	-22.49874937 -0.00050622 -0.00000916 	-22.49874937 -0.00158408 -0.00003132 
-22.47373687 -0.00091104 -0.00001766 	-22.47373687 -0.00034350 -0.00000584	-22.47373687 -0.00050700 -0.00000920 	-22.47373687 -0.00158668 -0.00003142 
-22.44872436 -0.00091251 -0.00001770 	-22.44872436 -0.00034398 -0.00000587	-22.44872436 -0.00050776 -0.00000924 	-22.44872436 -0.00158930 -0.00003150 
-22.42371186 -0.00091399 -0.00001776 	-22.42371186 -0.00034446 -0.00000588	-22.42371186 -0.00050852 -0.00000926 	-22.42371186 -0.00159192 -0.00003160 
-22.39869935 -0.00091548 -0.00001781 	-22.39869935 -0.00034498 -0.00000591	-22.39869935 -0.00050932 -0.00000930 	-22.39869935 -0.00159456 -0.00003170 
-22.37368684 -0.00091697 -0.00001787 	-22.37368684 -0.00034545 -0.00000589	-22.37368684 -0.00051008 -0.00000930 	-22.37368684 -0.00159722 -0.00003180 
-22.34867434 -0.00091846 -0.00001793 	-22.34867434 -0.00034595 -0.00000595	-22.34867434 -0.00051086 -0.00000936 	-22.34867434 -0.00159986 -0.00003188 
-22.32366183 -0.00091995 -0.00001798 	-22.32366183 -0.00034645 -0.00000596	-22.32366183 -0.00051164 -0.00000938 	-22.32366183 -0.00160252 -0.00003198 
-22.29864932 -0.00092144 -0.00001803 	-22.29864932 -0.00034694 -0.00000596	-22.29864932 -0.00051242 -0.00000940 	-22.29864932 -0.00160520 -0.00003210 
-22.27363682 -0.00092294 -0.00001809 	-22.27363682 -0.00034743 -0.00000597	-22.27363682 -0.00051320 -0.00000942 	-22.27363682 -0.00160788 -0.00003218 
-22.24862431 -0.00092447 -0.00001815 	-22.24862431 -0.00034792 -0.00000600	-22.24862431 -0.00051398 -0.00000946 	-22.24862431 -0.00161058 -0.00003228 
-22.22361181 -0.00092597 -0.00001820 	-22.22361181 -0.00034844 -0.00000601	-22.22361181 -0.00051478 -0.00000948 	-22.22361181 -0.00161326 -0.00003238 
-22.19859930 -0.00092748 -0.00001826 	-22.19859930 -0.00034893 -0.00000604	-22.19859930 -0.00051556 -0.00000952 	-22.19859930 -0.00161596 -0.00003248 
-22.17358679 -0.00092901 -0.00001831 	-22.17358679 -0.00034944 -0.00000605	-22.17358679 -0.00051636 -0.00000954 	-22.17358679 -0.00161868 -0.00003260 
-22.14857429 -0.00093055 -0.00001837 	-22.14857429 -0.00034995 -0.00000608	-22.14857429 -0.00051716 -0.00000958 	-22.14857429 -0.00162138 -0.00003270 
-22.12356178 -0.00093207 -0.00001843 	-22.12356178 -0.00035045 -0.00000609	-22.12356178 -0.00051796 -0.00000960 	-22.12356178 -0.00162412 -0.00003280 
-22.09854927 -0.00093361 -0.00001848 	-22.09854927 -0.00035096 -0.00000609	-22.09854927 -0.00051876 -0.00000962 	-22.09854927 -0.00162686 -0.00003290 
-22.07353677 -0.00093515 -0.00001854 	-22.07353677 -0.00035147 -0.00000612	-22.07353677 -0.00051956 -0.00000966 	-22.07353677 -0.00162960 -0.00003302 
-22.04852426 -0.00093671 -0.00001860 	-22.04852426 -0.00035197 -0.00000616	-22.04852426 -0.00052036 -0.00000970 	-22.04852426 -0.00163236 -0.00003310 
-22.02351176 -0.00093826 -0.00001865 	-22.02351176 -0.00035250 -0.00000616	-22.02351176 -0.00052118 -0.00000972 	-22.02351176 -0.00163512 -0.00003320 
-21.99849925 -0.00093981 -0.00001871 	-21.99849925 -0.00035300 -0.00000617	-21.99849925 -0.00052198 -0.00000974 	-21.99849925 -0.00163790 -0.00003332 
-21.97348674 -0.00094137 -0.00001877 	-21.97348674 -0.00035355 -0.00000620	-21.97348674 -0.00052282 -0.00000978 	-21.97348674 -0.00164066 -0.00003342 
-21.94847424 -0.00094294 -0.00001883 	-21.94847424 -0.00035404 -0.00000621	-21.94847424 -0.00052362 -0.00000980 	-21.94847424 -0.00164346 -0.00003352 
-21.92346173 -0.00094451 -0.00001890 	-21.92346173 -0.00035456 -0.00000624	-21.92346173 -0.00052444 -0.00000984 	-21.92346173 -0.00164626 -0.00003364 
-21.89844922 -0.00094609 -0.00001895 	-21.89844922 -0.00035508 -0.00000624	-21.89844922 -0.00052526 -0.00000986 	-21.89844922 -0.00164906 -0.00003374 
-21.87343672 -0.00094767 -0.00001902 	-21.87343672 -0.00035560 -0.00000627	-21.87343672 -0.00052608 -0.00000990 	-21.87343672 -0.00165188 -0.00003384 
-21.84842421 -0.00094926 -0.00001907 	-21.84842421 -0.00035612 -0.00000628	-21.84842421 -0.00052690 -0.00000992 	-21.84842421 -0.00165470 -0.00003396 
-21.82341171 -0.00095085 -0.00001914 	-21.82341171 -0.00035663 -0.00000631	-21.82341171 -0.00052772 -0.00000996 	-21.82341171 -0.00165752 -0.00003406 
-21.79839920 -0.00095244 -0.00001919 	-21.79839920 -0.00035717 -0.00000634	-21.79839920 -0.00052856 -0.00001000 	-21.79839920 -0.00166038 -0.00003416 
-21.77338669 -0.00095405 -0.00001925 	-21.77338669 -0.00035768 -0.00000632	-21.77338669 -0.00052938 -0.00001000 	-21.77338669 -0.00166322 -0.00003428 
-21.74837419 -0.00095566 -0.00001931 	-21.74837419 -0.00035824 -0.00000635	-21.74837419 -0.00053024 -0.00001004 	-21.74837419 -0.00166608 -0.00003440 
