-22.64882441 -0.00065859 -0.00001159 	-22.64882441 -0.00040405 -0.00000653	-22.64882441 -0.00066106 -0.00001164 	-22.64882441 -0.00186294 -0.00003552 
-22.62381191 -0.00065956 -0.00001163 	-22.62381191 -0.00040460 -0.00000656	-22.62381191 -0.00066204 -0.00001168 	-22.62381191 -0.00186592 -0.00003564 
-22.59879940 -0.00066053 -0.00001166 	-22.59879940 -0.00040513 -0.00000656	-22.59879940 -0.00066300 -0.00001170 	-22.59879940 -0.00186888 -0.00003574 
-22.57378689 -0.00066151 -0.00001169 	-22.57378689 -0.00040571 -0.00000658	-22.57378689 -0.00066400 -0.00001174 	-22.57378689 -0.00187186 -0.00003586 
-22.54877439 -0.00066248 -0.00001173 	-22.54877439 -0.00040626 -0.00000659	-22.54877439 -0.00066498 -0.00001176 	-22.54877439 -0.00187486 -0.00003596 
-22.52376188 -0.00066346 -0.00001176 	-22.52376188 -0.00040678 -0.00000664	-22.52376188 -0.00066594 -0.00001182 	-22.52376188 -0.00187786 -0.00003606 
-22.49874937 -0.00066445 -0.00001180 	-22.49874937 -0.00040733 -0.00000664	-22.49874937 -0.00066692 -0.00001184 	-22.49874937 -0.00188086 -0.00003618 
-22.47373687 -0.00066542 -0.00001183 	-22.47373687 -0.00040789 -0.00000666	-22.47373687 -0.00066792 -0.00001188 	-22.47373687 -0.00188390 -0.00003630 
-22.44872436 -0.00066641 -0.00001186 	-22.44872436 -0.00040844 -0.00000666	-22.44872436 -0.00066890 -0.00001190 	-22.44872436 -0.00188692 -0.00003640 
-22.42371186 -0.00066740 -0.00001190 	-22.42371186 -0.00040900 -0.00000671	-22.42371186 -0.00066990 -0.00001196 	-22.42371186 -0.00188996 -0.00003652 
-22.39869935 -0.00066839 -0.00001194 	-22.39869935 -0.00040959 -0.00000671	-22.39869935 -0.00067092 -0.00001198 	-22.39869935 -0.00189300 -0.00003662 
-22.37368684 -0.00066938 -0.00001197 	-22.37368684 -0.00041015 -0.00000673	-22.37368684 -0.00067192 -0.00001202 	-22.37368684 -0.00189604 -0.00003674 
-22.34867434 -0.00067039 -0.00001200 	-22.34867434 -0.00041068 -0.00000676	-22.34867434 -0.00067290 -0.00001206 	-22.34867434 -0.00189912 -0.00003686 
-22.32366183 -0.00067140 -0.00001204 	-22.32366183 -0.00041126 -0.00000676	-22.32366183 -0.00067392 -0.00001208 	-22.32366183 -0.00190220 -0.00003696 
-22.29864932 -0.00067240 -0.00001207 	-22.29864932 -0.00041182 -0.00000681	-22.29864932 -0.00067492 -0.00001214 	-22.29864932 -0.00190528 -0.00003706 
-22.27363682 -0.00067340 -0.00001211 	-22.27363682 -0.00041239 -0.00000681	-22.27363682 -0.00067594 -0.00001216 	-22.27363682 -0.00190838 -0.00003718 
-22.24862431 -0.00067442 -0.00001214 	-22.24862431 -0.00041295 -0.00000683	-22.24862431 -0.00067694 -0.00001220 	-22.24862431 -0.00191148 -0.00003730 
-22.22361181 -0.00067542 -0.00001218 	-22.22361181 -0.00041354 -0.00000683	-22.22361181 -0.00067798 -0.00001222 	-22.22361181 -0.00191460 -0.00003742 
-22.19859930 -0.00067644 -0.00001221 	-22.19859930 -0.00041412 -0.00000688	-22.19859930 -0.00067900 -0.00001228 	-22.19859930 -0.00191770 -0.00003752 
-22.17358679 -0.00067747 -0.00001225 	-22.17358679 -0.00041468 -0.00000691	-22.17358679 -0.00068002 -0.00001232 	-22.17358679 -0.00192084 -0.00003764 
-22.14857429 -0.00067849 -0.00001228 	-22.14857429 -0.00041525 -0.00000690	-22.14857429 -0.00068104 -0.00001234 	-22.14857429 -0.00192400 -0.00003776 
-22.12356178 -0.00067952 -0.00001233 	-22.12356178 -0.00041584 -0.00000693	-22.12356178 -0.00068208 -0.00001238 	-22.12356178 -0.00192714 -0.00003788 
-22.09854927 -0.00068054 -0.00001237 	-22.09854927 -0.00041640 -0.00000695	-22.09854927 -0.00068310 -0.00001242 	-22.09854927 -0.00193030 -0.00003798 
-22.07353677 -0.00068158 -0.00001241 	-22.07353677 -0.00041698 -0.00000697	-22.07353677 -0.00068414 -0.00001246 	-22.07353677 -0.00193348 -0.00003812 
-22.04852426 -0.00068261 -0.00001244 	-22.04852426 -0.00041757 -0.00000700	-22.04852426 -0.00068518 -0.00001250 	-22.04852426 -0.00193664 -0.00003824 
-22.02351176 -0.00068365 -0.00001248 	-22.02351176 -0.00041815 -0.00000702	-22.02351176 -0.00068622 -0.00001254 	-22.02351176 -0.00193984 -0.00003834 
-21.99849925 -0.00068469 -0.00001252 	-21.99849925 -0.00041875 -0.00000702	-21.99849925 -0.00068728 -0.00001256 	-21.99849925 -0.00194304 -0.00003846 
-21.97348674 -0.00068573 -0.00001255 	-21.97348674 -0.00041933 -0.00000707	-21.97348674 -0.00068832 -0.00001262 	-21.97348674 -0.00194624 -0.00003858 
-21.94847424 -0.00068677 -0.00001258 	-21.94847424 -0.00041992 -0.00000709	-21.94847424 -0.00068938 -0.00001266 	-21.94847424 -0.00194946 -0.00003870 
-21.92346173 -0.00068783 -0.00001263 	-21.92346173 -0.00042052 -0.00000709	-21.92346173 -0.00069044 -0.00001268 	-21.92346173 -0.00195270 -0.00003882 
-21.89844922 -0.00068889 -0.00001267 	-21.89844922 -0.00042109 -0.00000711	-21.89844922 -0.00069148 -0.00001272 	-21.89844922 -0.00195594 -0.00003896 
