-24.89994997 -0.00109196 -0.00001808 	-24.89994997 -0.00036049 -0.00000518	-24.89994997 -0.00058382 -0.00000912 	-24.89994997 -0.00162818 -0.00002756 
-15.47023512 -0.00220658 -0.00006900 	-15.47023512 -0.00066469 -0.00001826	-15.47023512 -0.00113534 -0.00003374 	-15.47023512 -0.00333630 -0.00010612 
-15.44522261 -0.00221234 -0.00006933 	-15.44522261 -0.00066621 -0.00001837	-15.44522261 -0.00113816 -0.00003392 	-15.44522261 -0.00334516 -0.00010666 
-15.42021011 -0.00221812 -0.00006968 	-15.42021011 -0.00066773 -0.00001844	-15.42021011 -0.00114098 -0.00003408 	-15.42021011 -0.00335406 -0.00010720 
-15.39519760 -0.00222394 -0.00007003 	-15.39519760 -0.00066929 -0.00001855	-15.39519760 -0.00114384 -0.00003426 	-15.39519760 -0.00336300 -0.00010772 
-15.37018509 -0.00222978 -0.00007037 	-15.37018509 -0.00067085 -0.00001863	-15.37018509 -0.00114670 -0.00003442 	-15.37018509 -0.00337198 -0.00010826 
-15.34517259 -0.00223565 -0.00007073 	-15.34517259 -0.00067238 -0.00001870	-15.34517259 -0.00114956 -0.00003458 	-15.34517259 -0.00338102 -0.00010882 
-15.32016008 -0.00224156 -0.00007109 	-15.32016008 -0.00067394 -0.00001881	-15.32016008 -0.00115244 -0.00003476 	-15.32016008 -0.00339010 -0.00010936 
-15.29514757 -0.00224749 -0.00007144 	-15.29514757 -0.00067551 -0.00001891	-15.29514757 -0.00115534 -0.00003494 	-15.29514757 -0.00339922 -0.00010990 
-15.27013507 -0.00225344 -0.00007179 	-15.27013507 -0.00067709 -0.00001898	-15.27013507 -0.00115826 -0.00003510 	-15.27013507 -0.00340840 -0.00011048 
-15.24512256 -0.00225943 -0.00007216 	-15.24512256 -0.00067866 -0.00001908	-15.24512256 -0.00116118 -0.00003528 	-15.24512256 -0.00341762 -0.00011102 
-15.22011006 -0.00226545 -0.00007253 	-15.22011006 -0.00068025 -0.00001916	-15.22011006 -0.00116412 -0.00003544 	-15.22011006 -0.00342688 -0.00011158 
-15.19509755 -0.00227151 -0.00007289 	-15.19509755 -0.00068186 -0.00001928	-15.19509755 -0.00116708 -0.00003564 	-15.19509755 -0.00343618 -0.00011216 
-15.17008504 -0.00227759 -0.00007326 	-15.17008504 -0.00068347 -0.00001935	-15.17008504 -0.00117006 -0.00003580 	-15.17008504 -0.00344554 -0.00011274 
-15.14507254 -0.00228369 -0.00007364 	-15.14507254 -0.00068507 -0.00001944	-15.14507254 -0.00117304 -0.00003598 	-15.14507254 -0.00345496 -0.00011332 
-15.12006003 -0.00228984 -0.00007402 	-15.12006003 -0.00068672 -0.00001956	-15.12006003 -0.00117606 -0.00003618 	-15.12006003 -0.00346440 -0.00011390 
-15.09504752 -0.00229602 -0.00007439 	-15.09504752 -0.00068833 -0.00001965	-15.09504752 -0.00117906 -0.00003636 	-15.09504752 -0.00347390 -0.00011448 
-15.07003502 -0.00230223 -0.00007478 	-15.07003502 -0.00068998 -0.00001974	-15.07003502 -0.00118210 -0.00003654 	-15.07003502 -0.00348346 -0.00011508 
-15.04502251 -0.00230847 -0.00007516 	-15.04502251 -0.00069161 -0.00001986	-15.04502251 -0.00118514 -0.00003674 	-15.04502251 -0.00349306 -0.00011566 
-15.02001001 -0.00231474 -0.00007555 	-15.02001001 -0.00069326 -0.00001993	-15.02001001 -0.00118820 -0.00003690 	-15.02001001 -0.00350272 -0.00011626 
-14.99499750 -0.00232104 -0.00007594 	-14.99499750 -0.00069493 -0.00002004	-14.99499750 -0.00119128 -0.00003710 	-14.99499750 -0.00351242 -0.00011686 
-14.96998499 -0.00232737 -0.00007634 	-14.96998499 -0.00069661 -0.00002013	-14.96998499 -0.00119438 -0.00003728 	-14.96998499 -0.00352216 -0.00011748 
-14.94497249 -0.00233374 -0.00007673 	-14.94497249 -0.00069830 -0.00002024	-14.94497249 -0.00119750 -0.00003748 	-14.94497249 -0.00353196 -0.00011810 
-14.91995998 -0.00234015 -0.00007714 	-14.91995998 -0.00069998 -0.00002033	-14.91995998 -0.00120062 -0.00003766 	-14.91995998 -0.00354182 -0.00011870 
-14.89494747 -0.00234658 -0.00007753 	-14.89494747 -0.00070170 -0.00002044	-14.89494747 -0.00120378 -0.00003786 	-14.89494747 -0.00355172 -0.00011934 
-14.86993497 -0.00235305 -0.00007794 	-14.86993497 -0.00070338 -0.00002055	-14.86993497 -0.00120692 -0.00003806 	-14.86993497 -0.00356168 -0.00011996 
-14.84492246 -0.00235954 -0.00007834 	-14.84492246 -0.00070510 -0.00002065	-14.84492246 -0.00121010 -0.00003826 	-14.84492246 -0.00357168 -0.00012060 
-14.81990995 -0.00236608 -0.00007875 	-14.81990995 -0.00070683 -0.00002076	-14.81990995 -0.00121330 -0.00003846 	-14.81990995 -0.00358174 -0.00012124 
-14.79489745 -0.00237266 -0.00007916 	-14.79489745 -0.00070855 -0.00002087	-14.79489745 -0.00121650 -0.00003866 	-14.79489745 -0.00359186 -0.00012186 
-14.76988494 -0.00237927 -0.00007960 	-14.76988494 -0.00071029 -0.00002095	-14.76988494 -0.00121972 -0.00003884 	-14.76988494 -0.00360202 -0.00012252 
-14.74487244 -0.00238591 -0.00008002 	-14.74487244 -0.00071203 -0.00002108	-14.74487244 -0.00122296 -0.00003906 	-14.74487244 -0.00361226 -0.00012316 
-14.71985993 -0.00239258 -0.00008044 	-14.71985993 -0.00071382 -0.00002120	-14.71985993 -0.00122624 -0.00003928 	-14.71985993 -0.00362252 -0.00012384 
-14.69484742 -0.00239929 -0.00008087 	-14.69484742 -0.00071556 -0.00002130	-14.69484742 -0.00122950 -0.00003948 	-14.69484742 -0.00363286 -0.00012448 
-14.66983492 -0.00240605 -0.00008130 	-14.66983492 -0.00071735 -0.00002140	-14.66983492 -0.00123280 -0.00003968 	-14.66983492 -0.00364324 -0.00012516 
-14.64482241 -0.00241283 -0.00008174 	-14.64482241 -0.00071912 -0.00002152	-14.64482241 -0.00123610 -0.00003990 	-14.64482241 -0.00365370 -0.00012584 
-14.61980990 -0.00241965 -0.00008217 	-14.61980990 -0.00072093 -0.00002162	-14.61980990 -0.00123944 -0.00004010 	-14.61980990 -0.00366418 -0.00012652 
-14.59479740 -0.00242651 -0.00008261 	-14.59479740 -0.00072273 -0.00002174	-14.59479740 -0.00124278 -0.00004032 	-14.59479740 -0.00367474 -0.00012720 
-14.56978489 -0.00243339 -0.00008307 	-14.56978489 -0.00072454 -0.00002186	-14.56978489 -0.00124614 -0.00004054 	-14.56978489 -0.00368534 -0.00012790 
-14.54477239 -0.00244033 -0.00008352 	-14.54477239 -0.00072638 -0.00002196	-14.54477239 -0.00124954 -0.00004074 	-14.54477239 -0.00369602 -0.00012858 
-14.51975988 -0.00244729 -0.00008397 	-14.51975988 -0.00072819 -0.00002207	-14.51975988 -0.00125292 -0.00004096 	-14.51975988 -0.00370674 -0.00012928 
-14.49474737 -0.00245429 -0.00008442 	-14.49474737 -0.00073004 -0.00002219	-14.49474737 -0.00125634 -0.00004118 	-14.49474737 -0.00371754 -0.00013000 
-14.46973487 -0.00246132 -0.00008489 	-14.46973487 -0.00073189 -0.00002230	-14.46973487 -0.00125978 -0.00004140 	-14.46973487 -0.00372838 -0.00013070 
-14.44472236 -0.00246842 -0.00008535 	-14.44472236 -0.00073376 -0.00002242	-14.44472236 -0.00126324 -0.00004162 	-14.44472236 -0.00373928 -0.00013142 
-14.41970985 -0.00247553 -0.00008581 	-14.41970985 -0.00073562 -0.00002255	-14.41970985 -0.00126670 -0.00004186 	-14.41970985 -0.00375024 -0.00013214 
-14.39469735 -0.00248270 -0.00008629 	-14.39469735 -0.00073751 -0.00002267	-14.39469735 -0.00127020 -0.00004208 	-14.39469735 -0.00376126 -0.00013286 
-14.36968484 -0.00248990 -0.00008676 	-14.36968484 -0.00073941 -0.00002280	-14.36968484 -0.00127372 -0.00004232 	-14.36968484 -0.00377236 -0.00013362 
-14.34467234 -0.00249714 -0.00008724 	-14.34467234 -0.00074130 -0.00002291	-14.34467234 -0.00127724 -0.00004254 	-14.34467234 -0.00378350 -0.00013436 
-14.31965983 -0.00250442 -0.00008772 	-14.31965983 -0.00074320 -0.00002304	-14.31965983 -0.00128078 -0.00004278 	-14.31965983 -0.00379472 -0.00013510 
-14.29464732 -0.00251173 -0.00008821 	-14.29464732 -0.00074514 -0.00002317	-14.29464732 -0.00128436 -0.00004302 	-14.29464732 -0.00380598 -0.00013586 
-14.26963482 -0.00251909 -0.00008871 	-14.26963482 -0.00074706 -0.00002327	-14.26963482 -0.00128794 -0.00004324 	-14.26963482 -0.00381732 -0.00013662 
-14.24462231 -0.00252649 -0.00008921 	-14.24462231 -0.00074901 -0.00002340	-14.24462231 -0.00129156 -0.00004348 	-14.24462231 -0.00382872 -0.00013738 
-14.21960980 -0.00253393 -0.00008970 	-14.21960980 -0.00075096 -0.00002353	-14.21960980 -0.00129518 -0.00004372 	-14.21960980 -0.00384018 -0.00013814 
-14.19459730 -0.00254141 -0.00009019 	-14.19459730 -0.00075294 -0.00002365	-14.19459730 -0.00129884 -0.00004396 	-14.19459730 -0.00385170 -0.00013892 
-14.16958479 -0.00254894 -0.00009071 	-14.16958479 -0.00075488 -0.00002380	-14.16958479 -0.00130248 -0.00004422 	-14.16958479 -0.00386328 -0.00013970 
-14.14457229 -0.00255651 -0.00009122 	-14.14457229 -0.00075688 -0.00002392	-14.14457229 -0.00130618 -0.00004446 	-14.14457229 -0.00387494 -0.00014050 
-14.11955978 -0.00256412 -0.00009174 	-14.11955978 -0.00075888 -0.00002404	-14.11955978 -0.00130990 -0.00004470 	-14.11955978 -0.00388666 -0.00014130 
-14.09454727 -0.00257177 -0.00009226 	-14.09454727 -0.00076088 -0.00002419	-14.09454727 -0.00131362 -0.00004496 	-14.09454727 -0.00389844 -0.00014210 
-14.06953477 -0.00257946 -0.00009279 	-14.06953477 -0.00076289 -0.00002431	-14.06953477 -0.00131736 -0.00004520 	-14.06953477 -0.00391030 -0.00014290 
-14.04452226 -0.00258721 -0.00009331 	-14.04452226 -0.00076492 -0.00002444	-14.04452226 -0.00132114 -0.00004546 	-14.04452226 -0.00392222 -0.00014374 
-14.01950975 -0.00259500 -0.00009384 	-14.01950975 -0.00076697 -0.00002458	-14.01950975 -0.00132494 -0.00004572 	-14.01950975 -0.00393422 -0.00014456 
-13.99449725 -0.00260282 -0.00009439 	-13.99449725 -0.00076901 -0.00002472	-13.99449725 -0.00132874 -0.00004598 	-13.99449725 -0.00394626 -0.00014538 
-13.96948474 -0.00261068 -0.00009493 	-13.96948474 -0.00077107 -0.00002486	-13.96948474 -0.00133258 -0.00004624 	-13.96948474 -0.00395840 -0.00014622 
-13.94447224 -0.00261862 -0.00009547 	-13.94447224 -0.00077315 -0.00002499	-13.94447224 -0.00133644 -0.00004650 	-13.94447224 -0.00397060 -0.00014708 
-13.91945973 -0.00262658 -0.00009602 	-13.91945973 -0.00077523 -0.00002513	-13.91945973 -0.00134032 -0.00004676 	-13.91945973 -0.00398288 -0.00014792 
-13.89444722 -0.00263459 -0.00009658 	-13.89444722 -0.00077733 -0.00002526	-13.89444722 -0.00134422 -0.00004702 	-13.89444722 -0.00399520 -0.00014880 
-13.86943472 -0.00264265 -0.00009714 	-13.86943472 -0.00077944 -0.00002544	-13.86943472 -0.00134814 -0.00004732 	-13.86943472 -0.00400762 -0.00014966 
-13.84442221 -0.00265075 -0.00009771 	-13.84442221 -0.00078155 -0.00002556	-13.84442221 -0.00135208 -0.00004758 	-13.84442221 -0.00402010 -0.00015054 
-13.81940970 -0.00265890 -0.00009828 	-13.81940970 -0.00078370 -0.00002571	-13.81940970 -0.00135606 -0.00004786 	-13.81940970 -0.00403266 -0.00015142 
-13.79439720 -0.00266709 -0.00009886 	-13.79439720 -0.00078582 -0.00002587	-13.79439720 -0.00136004 -0.00004814 	-13.79439720 -0.00404530 -0.00015230 
-13.76938469 -0.00267534 -0.00009943 	-13.76938469 -0.00078801 -0.00002599	-13.76938469 -0.00136408 -0.00004840 	-13.76938469 -0.00405800 -0.00015320 
-13.74437219 -0.00268363 -0.00010003 	-13.74437219 -0.00079016 -0.00002616	-13.74437219 -0.00136810 -0.00004870 	-13.74437219 -0.00407078 -0.00015410 
-13.71935968 -0.00269198 -0.00010062 	-13.71935968 -0.00079234 -0.00002630	-13.71935968 -0.00137216 -0.00004898 	-13.71935968 -0.00408362 -0.00015502 
-13.69434717 -0.00270038 -0.00010121 	-13.69434717 -0.00079455 -0.00002645	-13.69434717 -0.00137626 -0.00004926 	-13.69434717 -0.00409656 -0.00015594 
-13.66933467 -0.00270881 -0.00010182 	-13.66933467 -0.00079675 -0.00002661	-13.66933467 -0.00138036 -0.00004956 	-13.66933467 -0.00410956 -0.00015688 
-13.64432216 -0.00271730 -0.00010242 	-13.64432216 -0.00079898 -0.00002675	-13.64432216 -0.00138450 -0.00004984 	-13.64432216 -0.00412264 -0.00015780 
-13.61930965 -0.00272584 -0.00010304 	-13.61930965 -0.00080121 -0.00002692	-13.61930965 -0.00138866 -0.00005014 	-13.61930965 -0.00413582 -0.00015874 
-13.59429715 -0.00273445 -0.00010364 	-13.59429715 -0.00080342 -0.00002708	-13.59429715 -0.00139282 -0.00005044 	-13.59429715 -0.00414906 -0.00015970 
-13.56928464 -0.00274308 -0.00010428 	-13.56928464 -0.00080570 -0.00002723	-13.56928464 -0.00139704 -0.00005074 	-13.56928464 -0.00416238 -0.00016068 
-13.54427214 -0.00275179 -0.00010489 	-13.54427214 -0.00080795 -0.00002739	-13.54427214 -0.00140126 -0.00005104 	-13.54427214 -0.00417580 -0.00016164 
-13.51925963 -0.00276053 -0.00010554 	-13.51925963 -0.00081026 -0.00002754	-13.51925963 -0.00140554 -0.00005134 	-13.51925963 -0.00418928 -0.00016264 
-13.49424712 -0.00276934 -0.00010617 	-13.49424712 -0.00081254 -0.00002769	-13.49424712 -0.00140980 -0.00005164 	-13.49424712 -0.00420284 -0.00016362 
-13.46923462 -0.00277819 -0.00010682 	-13.46923462 -0.00081486 -0.00002787	-13.46923462 -0.00141412 -0.00005196 	-13.46923462 -0.00421648 -0.00016462 
-13.44422211 -0.00278711 -0.00010747 	-13.44422211 -0.00081719 -0.00002804	-13.44422211 -0.00141846 -0.00005228 	-13.44422211 -0.00423022 -0.00016562 
-13.41920960 -0.00279607 -0.00010813 	-13.41920960 -0.00081951 -0.00002821	-13.41920960 -0.00142280 -0.00005260 	-13.41920960 -0.00424404 -0.00016664 
-13.39419710 -0.00280508 -0.00010879 	-13.39419710 -0.00082190 -0.00002838	-13.39419710 -0.00142722 -0.00005292 	-13.39419710 -0.00425794 -0.00016766 
-13.36918459 -0.00281416 -0.00010945 	-13.36918459 -0.00082425 -0.00002855	-13.36918459 -0.00143162 -0.00005324 	-13.36918459 -0.00427190 -0.00016868 
-13.34417209 -0.00282329 -0.00011013 	-13.34417209 -0.00082663 -0.00002872	-13.34417209 -0.00143606 -0.00005356 	-13.34417209 -0.00428598 -0.00016974 
-13.31915958 -0.00283248 -0.00011081 	-13.31915958 -0.00082902 -0.00002888	-13.31915958 -0.00144052 -0.00005388 	-13.31915958 -0.00430014 -0.00017080 
-13.29414707 -0.00284170 -0.00011150 	-13.29414707 -0.00083141 -0.00002906	-13.29414707 -0.00144500 -0.00005422 	-13.29414707 -0.00431438 -0.00017186 
-13.26913457 -0.00285101 -0.00011219 	-13.26913457 -0.00083386 -0.00002925	-13.26913457 -0.00144954 -0.00005456 	-13.26913457 -0.00432872 -0.00017294 
-13.24412206 -0.00286037 -0.00011289 	-13.24412206 -0.00083628 -0.00002940	-13.24412206 -0.00145408 -0.00005488 	-13.24412206 -0.00434314 -0.00017402 
-13.21910955 -0.00286980 -0.00011360 	-13.21910955 -0.00083874 -0.00002958	-13.21910955 -0.00145866 -0.00005522 	-13.21910955 -0.00435766 -0.00017510 
-13.19409705 -0.00287927 -0.00011431 	-13.19409705 -0.00084120 -0.00002976	-13.19409705 -0.00146326 -0.00005556 	-13.19409705 -0.00437226 -0.00017620 
-13.16908454 -0.00288880 -0.00011503 	-13.16908454 -0.00084369 -0.00002996	-13.16908454 -0.00146790 -0.00005592 	-13.16908454 -0.00438696 -0.00017732 
-13.14407204 -0.00289838 -0.00011576 	-13.14407204 -0.00084621 -0.00003013	-13.14407204 -0.00147258 -0.00005626 	-13.14407204 -0.00440174 -0.00017846 
-13.11905953 -0.00290805 -0.00011649 	-13.11905953 -0.00084873 -0.00003033	-13.11905953 -0.00147728 -0.00005662 	-13.11905953 -0.00441664 -0.00017956 
-13.09404702 -0.00291777 -0.00011723 	-13.09404702 -0.00085125 -0.00003052	-13.09404702 -0.00148200 -0.00005698 	-13.09404702 -0.00443162 -0.00018072 
-13.06903452 -0.00292753 -0.00011798 	-13.06903452 -0.00085379 -0.00003071	-13.06903452 -0.00148674 -0.00005734 	-13.06903452 -0.00444668 -0.00018188 
-13.04402201 -0.00293739 -0.00011874 	-13.04402201 -0.00085635 -0.00003090	-13.04402201 -0.00149152 -0.00005770 	-13.04402201 -0.00446184 -0.00018304 
-13.01900950 -0.00294728 -0.00011949 	-13.01900950 -0.00085893 -0.00003108	-13.01900950 -0.00149634 -0.00005806 	-13.01900950 -0.00447712 -0.00018422 
-12.99399700 -0.00295725 -0.00012026 	-12.99399700 -0.00086150 -0.00003129	-12.99399700 -0.00150116 -0.00005844 	-12.99399700 -0.00449248 -0.00018540 
-12.96898449 -0.00296727 -0.00012103 	-12.96898449 -0.00086412 -0.00003150	-12.96898449 -0.00150604 -0.00005882 	-12.96898449 -0.00450792 -0.00018660 
-12.94397199 -0.00297737 -0.00012181 	-12.94397199 -0.00086676 -0.00003167	-12.94397199 -0.00151096 -0.00005918 	-12.94397199 -0.00452350 -0.00018782 
-12.91895948 -0.00298754 -0.00012262 	-12.91895948 -0.00086941 -0.00003187	-12.91895948 -0.00151590 -0.00005956 	-12.91895948 -0.00453916 -0.00018904 
-12.89394697 -0.00299775 -0.00012341 	-12.89394697 -0.00087206 -0.00003207	-12.89394697 -0.00152086 -0.00005994 	-12.89394697 -0.00455492 -0.00019028 
-12.86893447 -0.00300805 -0.00012422 	-12.86893447 -0.00087473 -0.00003229	-12.86893447 -0.00152586 -0.00006034 	-12.86893447 -0.00457080 -0.00019150 
-12.84392196 -0.00301841 -0.00012502 	-12.84392196 -0.00087743 -0.00003250	-12.84392196 -0.00153090 -0.00006074 	-12.84392196 -0.00458676 -0.00019278 
-12.81890945 -0.00302882 -0.00012584 	-12.81890945 -0.00088011 -0.00003270	-12.81890945 -0.00153594 -0.00006112 	-12.81890945 -0.00460284 -0.00019404 
-12.79389695 -0.00303932 -0.00012668 	-12.79389695 -0.00088284 -0.00003291	-12.79389695 -0.00154104 -0.00006152 	-12.79389695 -0.00461902 -0.00019532 
-12.76888444 -0.00304990 -0.00012752 	-12.76888444 -0.00088560 -0.00003314	-12.76888444 -0.00154618 -0.00006194 	-12.76888444 -0.00463532 -0.00019662 
-12.74387194 -0.00306053 -0.00012835 	-12.74387194 -0.00088836 -0.00003335	-12.74387194 -0.00155134 -0.00006234 	-12.74387194 -0.00465170 -0.00019792 
-12.71885943 -0.00307122 -0.00012922 	-12.71885943 -0.00089114 -0.00003355	-12.71885943 -0.00155654 -0.00006274 	-12.71885943 -0.00466822 -0.00019924 
-12.69384692 -0.00308200 -0.00013008 	-12.69384692 -0.00089392 -0.00003377	-12.69384692 -0.00156176 -0.00006316 	-12.69384692 -0.00468484 -0.00020058 
-12.66883442 -0.00309285 -0.00013096 	-12.66883442 -0.00089675 -0.00003400	-12.66883442 -0.00156704 -0.00006358 	-12.66883442 -0.00470156 -0.00020192 
-12.64382191 -0.00310377 -0.00013184 	-12.64382191 -0.00089959 -0.00003422	-12.64382191 -0.00157234 -0.00006400 	-12.64382191 -0.00471838 -0.00020328 
-12.61880940 -0.00311477 -0.00013271 	-12.61880940 -0.00090245 -0.00003443	-12.61880940 -0.00157768 -0.00006442 	-12.61880940 -0.00473534 -0.00020466 
-12.59379690 -0.00312582 -0.00013361 	-12.59379690 -0.00090532 -0.00003467	-12.59379690 -0.00158306 -0.00006486 	-12.59379690 -0.00475242 -0.00020604 
-12.56878439 -0.00313698 -0.00013451 	-12.56878439 -0.00090820 -0.00003490	-12.56878439 -0.00158846 -0.00006530 	-12.56878439 -0.00476960 -0.00020746 
-12.54377189 -0.00314819 -0.00013543 	-12.54377189 -0.00091111 -0.00003514	-12.54377189 -0.00159390 -0.00006574 	-12.54377189 -0.00478690 -0.00020886 
-12.51875938 -0.00315948 -0.00013635 	-12.51875938 -0.00091406 -0.00003537	-12.51875938 -0.00159940 -0.00006618 	-12.51875938 -0.00480430 -0.00021028 
-12.49374687 -0.00317085 -0.00013728 	-12.49374687 -0.00091701 -0.00003561	-12.49374687 -0.00160492 -0.00006664 	-12.49374687 -0.00482184 -0.00021174 
-12.46873437 -0.00318230 -0.00013823 	-12.46873437 -0.00091996 -0.00003583	-12.46873437 -0.00161046 -0.00006708 	-12.46873437 -0.00483952 -0.00021320 
-12.44372186 -0.00319382 -0.00013919 	-12.44372186 -0.00092296 -0.00003610	-12.44372186 -0.00161606 -0.00006756 	-12.44372186 -0.00485728 -0.00021466 
-12.41870935 -0.00320542 -0.00014015 	-12.41870935 -0.00092595 -0.00003634	-12.41870935 -0.00162168 -0.00006802 	-12.41870935 -0.00487518 -0.00021616 
-12.39369685 -0.00321712 -0.00014112 	-12.39369685 -0.00092899 -0.00003658	-12.39369685 -0.00162736 -0.00006848 	-12.39369685 -0.00489320 -0.00021766 
-12.36868434 -0.00322888 -0.00014210 	-12.36868434 -0.00093205 -0.00003681	-12.36868434 -0.00163308 -0.00006894 	-12.36868434 -0.00491136 -0.00021918 
-12.34367184 -0.00324073 -0.00014308 	-12.34367184 -0.00093511 -0.00003707	-12.34367184 -0.00163882 -0.00006942 	-12.34367184 -0.00492962 -0.00022070 
-12.31865933 -0.00325266 -0.00014410 	-12.31865933 -0.00093820 -0.00003732	-12.31865933 -0.00164460 -0.00006990 	-12.31865933 -0.00494802 -0.00022226 
-12.29364682 -0.00326468 -0.00014511 	-12.29364682 -0.00094132 -0.00003759	-12.29364682 -0.00165044 -0.00007040 	-12.29364682 -0.00496656 -0.00022382 
-12.26863432 -0.00327677 -0.00014613 	-12.26863432 -0.00094444 -0.00003786	-12.26863432 -0.00165630 -0.00007090 	-12.26863432 -0.00498522 -0.00022540 
-12.24362181 -0.00328896 -0.00014716 	-12.24362181 -0.00094761 -0.00003810	-12.24362181 -0.00166222 -0.00007138 	-12.24362181 -0.00500402 -0.00022700 
-12.21860930 -0.00330123 -0.00014821 	-12.21860930 -0.00095080 -0.00003836	-12.21860930 -0.00166818 -0.00007188 	-12.21860930 -0.00502292 -0.00022862 
-12.19359680 -0.00331358 -0.00014927 	-12.19359680 -0.00095398 -0.00003864	-12.19359680 -0.00167416 -0.00007240 	-12.19359680 -0.00504200 -0.00023026 
-12.16858429 -0.00332603 -0.00015032 	-12.16858429 -0.00095718 -0.00003892	-12.16858429 -0.00168018 -0.00007292 	-12.16858429 -0.00506120 -0.00023190 
-12.14357179 -0.00333857 -0.00015141 	-12.14357179 -0.00096045 -0.00003920	-12.14357179 -0.00168628 -0.00007344 	-12.14357179 -0.00508052 -0.00023356 
-12.11855928 -0.00335118 -0.00015249 	-12.11855928 -0.00096372 -0.00003947	-12.11855928 -0.00169240 -0.00007396 	-12.11855928 -0.00510000 -0.00023524 
-12.09354677 -0.00336390 -0.00015360 	-12.09354677 -0.00096700 -0.00003974	-12.09354677 -0.00169856 -0.00007448 	-12.09354677 -0.00511960 -0.00023694 
-12.06853427 -0.00337671 -0.00015471 	-12.06853427 -0.00097030 -0.00004003	-12.06853427 -0.00170476 -0.00007502 	-12.06853427 -0.00513936 -0.00023866 
-12.04352176 -0.00338960 -0.00015584 	-12.04352176 -0.00097365 -0.00004031	-12.04352176 -0.00171102 -0.00007556 	-12.04352176 -0.00515926 -0.00024042 
-12.01850925 -0.00340259 -0.00015697 	-12.01850925 -0.00097701 -0.00004059	-12.01850925 -0.00171732 -0.00007610 	-12.01850925 -0.00517932 -0.00024216 
-11.99349675 -0.00341568 -0.00015812 	-11.99349675 -0.00098039 -0.00004089	-11.99349675 -0.00172366 -0.00007666 	-11.99349675 -0.00519950 -0.00024394 
-11.96848424 -0.00342886 -0.00015929 	-11.96848424 -0.00098380 -0.00004120	-11.96848424 -0.00173006 -0.00007724 	-11.96848424 -0.00521984 -0.00024576 
-11.94347174 -0.00344214 -0.00016047 	-11.94347174 -0.00098724 -0.00004150	-11.94347174 -0.00173650 -0.00007780 	-11.94347174 -0.00524032 -0.00024756 
-11.91845923 -0.00345552 -0.00016164 	-11.91845923 -0.00099069 -0.00004179	-11.91845923 -0.00174298 -0.00007836 	-11.91845923 -0.00526096 -0.00024938 
-11.89344672 -0.00346898 -0.00016285 	-11.89344672 -0.00099419 -0.00004210	-11.89344672 -0.00174952 -0.00007894 	-11.89344672 -0.00528174 -0.00025124 
-11.86843422 -0.00348256 -0.00016406 	-11.86843422 -0.00099770 -0.00004239	-11.86843422 -0.00175610 -0.00007952 	-11.86843422 -0.00530268 -0.00025314 
-11.84342171 -0.00349624 -0.00016528 	-11.84342171 -0.00100122 -0.00004272	-11.84342171 -0.00176272 -0.00008012 	-11.84342171 -0.00532378 -0.00025502 
-11.81840920 -0.00351002 -0.00016652 	-11.81840920 -0.00100478 -0.00004304	-11.81840920 -0.00176940 -0.00008072 	-11.81840920 -0.00534504 -0.00025692 
-11.79339670 -0.00352390 -0.00016777 	-11.79339670 -0.00100836 -0.00004335	-11.79339670 -0.00177612 -0.00008132 	-11.79339670 -0.00536646 -0.00025888 
-11.76838419 -0.00353788 -0.00016905 	-11.76838419 -0.00101198 -0.00004366	-11.76838419 -0.00178290 -0.00008192 	-11.76838419 -0.00538804 -0.00026082 
-11.74337169 -0.00355197 -0.00017032 	-11.74337169 -0.00101563 -0.00004401	-11.74337169 -0.00178974 -0.00008256 	-11.74337169 -0.00540978 -0.00026282 
-11.71835918 -0.00356617 -0.00017162 	-11.71835918 -0.00101929 -0.00004431	-11.71835918 -0.00179662 -0.00008316 	-11.71835918 -0.00543170 -0.00026482 
-11.69334667 -0.00358048 -0.00017294 	-11.69334667 -0.00102298 -0.00004468	-11.69334667 -0.00180354 -0.00008382 	-11.69334667 -0.00545376 -0.00026686 
-11.66833417 -0.00359489 -0.00017426 	-11.66833417 -0.00102672 -0.00004500	-11.66833417 -0.00181054 -0.00008444 	-11.66833417 -0.00547600 -0.00026890 
-11.64332166 -0.00360941 -0.00017559 	-11.64332166 -0.00103044 -0.00004533	-11.64332166 -0.00181756 -0.00008508 	-11.64332166 -0.00549842 -0.00027098 
-11.61830915 -0.00362405 -0.00017695 	-11.61830915 -0.00103423 -0.00004568	-11.61830915 -0.00182466 -0.00008574 	-11.61830915 -0.00552100 -0.00027306 
-11.59329665 -0.00363880 -0.00017834 	-11.59329665 -0.00103806 -0.00004603	-11.59329665 -0.00183182 -0.00008640 	-11.59329665 -0.00554376 -0.00027518 
-11.56828414 -0.00365365 -0.00017972 	-11.56828414 -0.00104187 -0.00004637	-11.56828414 -0.00183900 -0.00008706 	-11.56828414 -0.00556668 -0.00027732 
-11.54327164 -0.00366864 -0.00018112 	-11.54327164 -0.00104576 -0.00004673	-11.54327164 -0.00184628 -0.00008774 	-11.54327164 -0.00558980 -0.00027950 
-11.51825913 -0.00368373 -0.00018254 	-11.51825913 -0.00104965 -0.00004709	-11.51825913 -0.00185358 -0.00008842 	-11.51825913 -0.00561308 -0.00028170 
